product_id,brand,name,size,english_name,chinese_name,categories,url
8407544,123 Nourish Me,Chesty Rub Balm,50g,123 Nourish Me Chesty Rub Balm 50g,,baby,https://www.coles.com.au/product/123-nourish-me-chesty-rub-balm-50g-8407544
8407577,123 Nourish Me,Hello Sunshine - Sunscreen,100g,123 Nourish Me Hello Sunshine - Sunscreen 100g,,baby,https://www.coles.com.au/product/123-nourish-me-hello-sunshine-sunscreen-100g-8407577
8407588,123 Nourish Me,Hello Sunshine Facestick Original,16mL,123 Nourish Me Hello Sunshine Facestick Original 16mL,,baby,https://www.coles.com.au/product/123-nourish-me-hello-sunshine-facestick-original-16ml-8407588
8407067,123 Nourish Me,Sleepy Head Balm,50g,123 Nourish Me Sleepy Head Balm 50g,,baby,https://www.coles.com.au/product/123-nourish-me-sleepy-head-balm-50g-8407067
5488244,A2,Platinum Premium Infant Formula Stage 1,900g,A2 Platinum Premium Infant Formula Stage 1 900g,,baby,https://www.coles.com.au/product/a2-platinum-premium-infant-formula-stage-1-900g-5488244
4992330,Alula,Advance+ Follow On Stage 2 Formula,800g,Alula Advance+ Follow On Stage 2 Formula 800g,,baby,https://www.coles.com.au/product/alula-advance-follow-on-stage-2-formula-800g-4992330
4992599,Alula,Advance+ Junior Stage 4 Formula,800g,Alula Advance+ Junior Stage 4 Formula 800g,,baby,https://www.coles.com.au/product/alula-advance-junior-stage-4-formula-800g-4992599
4992307,Alula,Advance+ Newborn Stage 1 Formula,800g,Alula Advance+ Newborn Stage 1 Formula 800g,,baby,https://www.coles.com.au/product/alula-advance-newborn-stage-1-formula-800g-4992307
4992511,Alula,Advance+ Toddler Stage 3 Formula,800g,Alula Advance+ Toddler Stage 3 Formula 800g,,baby,https://www.coles.com.au/product/alula-advance-toddler-stage-3-formula-800g-4992511
3025824,Alula,Gentle Newborn 0-6 Months Infant Formula,900g,Alula Gentle Newborn 0-6 Months Infant Formula 900g,,baby,https://www.coles.com.au/product/alula-gentle-newborn-0-6-months-infant-formula-900g-3025824
3773261,Alula,Gentle Toddler 1 Year+ Milk Drink,900g,Alula Gentle Toddler 1 Year+ Milk Drink 900g,牛奶饮料,baby,https://www.coles.com.au/product/alula-gentle-toddler-1-year-milk-drink-900g-3773261
3025722,Alula,Gold Follow-on Formula 6-12 Months,900g,Alula Gold Follow-on Formula 6-12 Months 900g,,baby,https://www.coles.com.au/product/alula-gold-follow-on-formula-6-12-months-900g-3025722
3025813,Alula,Gold Junior 2 Years+ Milk Drink,900g,Alula Gold Junior 2 Years+ Milk Drink 900g,牛奶饮料,baby,https://www.coles.com.au/product/alula-gold-junior-2-years-milk-drink-900g-3025813
3025609,Alula,Gold Newborn 0-6 Months Infant Formula,900g,Alula Gold Newborn 0-6 Months Infant Formula 900g,,baby,https://www.coles.com.au/product/alula-gold-newborn-0-6-months-infant-formula-900g-3025609
3025766,Alula,Gold Toddler 1 year+ Milk Drink,900g,Alula Gold Toddler 1 year+ Milk Drink 900g,牛奶饮料,baby,https://www.coles.com.au/product/alula-gold-toddler-1-year-milk-drink-900g-3025766
3025835,Alula,Original Follow-on Formula 6-12 Months,900g,Alula Original Follow-on Formula 6-12 Months 900g,,baby,https://www.coles.com.au/product/alula-original-follow-on-formula-6-12-months-900g-3025835
6187265,Aptamil,Allerpro Syneo Baby Formula Stage 1,900g,Aptamil Allerpro Syneo Baby Formula Stage 1 900g,,baby,https://www.coles.com.au/product/aptamil-allerpro-syneo-baby-formula-stage-1-900g-6187265
